rank	singular_value	error_estimate
830	550.961	0.0998956
831	550.883	0.0399023
832	550.712	0.104313
833	550.482	0.0647531
834	549.773	0.00515612
835	549.522	0.0464506
836	549.401	0.0348278
837	549.196	0.0448674
838	548.751	0.0452619
839	548.285	0.0483113
840	548.131	0.0270834
841	547.838	0.019973
842	547.465	0.101584
843	547.088	0.0805645
844	546.965	0.0583331
845	546.809	0.032323
846	546.392	0.0993134
847	545.732	0.0900203
848	545.688	0.0693333
849	545.279	0.0402458
850	544.908	0.0120103
851	544.784	0.0360842
852	544.521	0.0456456
853	544.051	0.0392618
854	543.815	0.047888
855	543.331	0.0338478
856	543.294	0.0339252
857	542.686	0.0200469
858	542.444	0.110901
859	541.947	0.103011
860	541.876	0.0499607
861	541.006	0.0378922
862	540.682	0.0736571
863	540.322	0.0525275
864	540.259	0.0285029
865	539.851	0.117292
866	539.724	0.0855271
867	539.095	0.0317555
868	538.51	0.0995428
869	537.979	0.0632068
870	537.807	0.0371384
871	537.599	0.0388125
872	536.569	0.0322025
873	536.353	0.0629427
874	535.786	0.0704157
875	535.439	0.0373225
876	535.255	0.0252031
877	534.719	0.0478662
878	533.992	0.0656352
879	533.893	0.0591025
880	533.145	0.110599
881	532.598	0.0767582
882	531.953	0.0935401
883	531.773	0.0629175
884	531.389	0.151527
885	531.162	0.0939366
886	530.799	0.00872666
887	530.416	0.042623
888	529.875	0.0382096
889	529.617	0.0173737
890	529.442	0.0186511
891	529.137	0.0765406
892	528.993	0.0674845
893	528.487	0.0517205
894	528.269	0.0535057
895	527.993	0.0336917
896	527.568	0.0120098
897	527.322	0.0550793
898	526.933	0.0370404
899	526.575	0.0522616
900	526.463	0.0560625
901	525.826	0.0494531
902	525.527	0.035712
903	525.414	0.0586756
904	525.263	0.0597577
905	525.037	0.0390824
906	524.744	0.0171441
907	524.415	0.0833455
908	524.167	0.0520353
909	524.03	0.0360905
910	523.149	0.0309354
911	522.991	0.120919
912	522.685	0.0764734
913	522.499	0.0452262
914	522.23	0.104025
915	521.806	0.0628229
916	521.464	0.0978407
917	521.122	0.0657512
918	521.041	0.0279261
919	520.8	0.0494524
920	520.469	0.0292169
921	520.225	0.0774834
922	520.105	0.0634358
923	519.757	0.0260978
924	519.57	0.0312828
925	519.173	0.071414
926	518.739	0.0479001
927	518.379	0.031346
928	518.189	0.0301169
929	517.917	0.0171998
930	517.517	0.0235444
931	517.355	0.0144806
932	516.893	0.0504097
933	516.564	0.0447852
934	516.172	0.0203547
935	515.974	0.00775196
936	515.849	0.0788593
937	515.208	0.0498408
938	515.112	0.0438238
939	515.026	0.0522962
940	514.694	0.0295807
941	514.429	0.00819206
942	514.194	0.0395246
943	513.9	0.0436542
944	513.84	0.0605924
945	513.537	0.0349216
946	513.041	0.0802741
947	512.455	0.0572304
948	512.273	0.0211694
949	512.214	0.00741181
950	511.972	0.00816658
951	511.815	0.0837313
952	511.436	0.0520279
953	511.178	0.0453297
954	510.86	0.040169
955	510.793	0.106608
956	510.448	0.0640473
957	510.098	0.0182198
958	509.986	0.0121745
959	509.612	0.0580387
960	509.297	0.0361823
961	508.986	0.0112958
962	508.719	0.0884897
963	508.315	0.0743377
964	508.179	0.0312442
965	508.018	0.0344625
966	507.972	0.0410268
967	507.649	0.0662176
968	507.372	0.0382149
969	507.022	0.0348179
970	506.376	0.0210506
971	506.206	0.0511115
972	506.116	0.0310269
973	505.992	0.0225816
974	505.936	0.0295188
975	505.436	0.0259957
976	505.383	0.081189
977	505.2	0.0830885
978	505.017	0.0407921
979	504.645	0.019785
980	504.549	0.0591747
981	504.204	0.0533484
982	504.016	0.0273738
983	503.814	0.0326117
984	503.259	0.0670457
985	503.01	0.112479
986	502.563	0.0639508
987	502.178	0.00400917
988	501.934	0.0919688
989	501.432	0.0559388
990	501.286	0.0704758
991	501.163	0.109135
992	500.578	0.076751
993	500.342	0.0791232
994	500.15	0.0453316
995	499.662	0.0219996
996	499.335	0.027534
997	498.797	0.0951037
998	498.625	0.0569588
999	498.31	0.00740324
1000	498.195	0.046472
1001	497.882	0.0530695
1002	497.792	0.0281019
1003	497.513	0.00463699
1004	497.426	0.0225349
1005	497.164	0.0197455
1006	496.911	0.0629535
1007	496.769	0.0395091
1008	496.704	0.0079121
1009	496.532	0.0342406
1010	496.374	0.0707644
1011	496.083	0.0423889
1012	495.589	0.0791626
1013	495.147	0.0470482
1014	494.989	0.0559535
1015	494.747	0.068568
1016	494.394	0.0378022
1017	494.173	0.0106975
1018	493.923	0.045036
1019	493.804	0.0271117
1020	493.769	0.0109049
1021	493.389	0.043788
1022	493.175	0.0263414
1023	492.828	0.0409116
1024	492.694	0.0361864
1025	492.455	0.0445461
1026	492.364	0.0251235
1027	492.156	0.037381
1028	491.855	0.0517343
1029	491.578	0.0599714
1030	491.384	0.0717434
1031	491.115	0.0387859
1032	491.021	0.0260694
1033	490.664	0.0500217
1034	490.479	0.061818
1035	490.329	0.0436573
1036	490.234	0.021606
1037	490.027	0.0242203
1038	489.681	0.0549933
1039	489.273	0.0689555
1040	489.21	0.0395244
1041	489.05	0.0143138
1042	488.644	0.0570507
1043	488.357	0.0922385
1044	488.147	0.0674294
1045	488.118	0.0294809
1046	487.88	0.0455668
1047	487.658	0.0324079
1048	487.32	0.0125627
1049	487.06	0.063171
1050	486.587	0.0439582
1051	486.364	0.0356582
1052	486.254	0.0420772
1053	485.986	0.0954459
1054	485.468	0.0547724
1055	485.277	0.00965794
1056	485.022	0.0878039
1057	484.742	0.0515743
1058	484.556	0.00852986
